Transaction_ID,Date,Store_ID,Product_ID,Category_ID,Quantity_Sold,Sale_Price_Per_Unit,Total_Sale_Amount,Discount_Amount,Net_Sale_Amount,Payment_Method,Customer_ID,Salesperson_ID
78554,9/29/2021 21:08,163,579,101,5,82.68,413.4,9.48,403.92,Mobile Payment,1239,544
69359,8/8/2021 23:15,146,591,101,1,23.44,23.44,4.97,18.47,Credit Card,1324,514
85854,12/15/2020 16:05,132,548,102,5,45.79,228.95,15.61,213.34,Mobile Payment,1319,519
66297,9/23/2021 21:06,101,570,103,5,174.46,872.3,15.51,856.79,Debit Card,1186,509
10585,6/2/2021 5:20,142,569,106,3,87.82,263.46,15.31,248.15,Mobile Payment,1985,562
38017,2/22/2021 14:31,156,512,107,5,112.74,563.7,24.92,538.78,Cash,1089,569
46422,10/12/2021 22:41,171,523,106,5,132.71,663.55,26.87,636.68,Debit Card,1832,511
56090,6/17/2021 9:34,162,590,105,1,93.36,93.36,18.52,74.84,Mobile Payment,1764,568
84283,8/17/2021 16:59,117,549,101,2,99.35,198.7,21.13,177.57,Credit Card,1430,577
38272,6/16/2021 9:16,194,573,103,5,39.26,196.3,2.3,194,Debit Card,1517,514
58742,10/26/2021 2:58,195,540,106,3,71.27,213.81,27.8,186.01,Mobile Payment,1825,519
37897,3/13/2021 4:34,163,549,101,1,114.77,114.77,22,92.77,Credit Card,1268,580
83398,1/29/2021 23:15,190,593,102,4,85.24,340.96,5.64,335.32,Debit Card,1220,571
76837,9/8/2021 12:02,170,527,107,5,128.74,643.7,9.24,634.46,Credit Card,1664,529
94504,11/27/2020 18:43,143,590,105,4,36.1,144.4,25.2,119.2,Debit Card,1957,528
84026,6/12/2021 2:33,152,516,106,4,34.93,139.72,4.54,135.18,Mobile Payment,1251,570
65950,2/19/2021 12:30,139,555,106,2,157.77,315.54,20.21,295.33,Credit Card,1561,594
28175,12/7/2020 2:26,122,585,107,4,14.02,56.08,1.53,54.55,Mobile Payment,1216,584
49721,8/17/2021 9:12,120,566,105,2,62.78,125.56,27.11,98.45,Credit Card,1967,541
99051,6/16/2021 14:58,106,521,101,3,11.94,35.82,10.69,25.13,Credit Card,1571,599
38247,5/26/2021 19:22,143,568,107,4,115.01,460.04,27.21,432.83,Debit Card,1360,578
58292,7/30/2021 0:37,131,557,103,3,156.89,470.67,22.79,447.88,Credit Card,1288,579
49101,12/10/2020 10:36,107,570,103,4,21.7,86.8,12.92,73.88,Debit Card,1143,564
37636,10/13/2021 1:58,112,533,104,1,39.84,39.84,17.23,22.61,Debit Card,1974,520
94043,10/24/2021 9:26,178,589,102,2,14.84,29.68,4.15,25.53,Credit Card,1680,552
10814,10/25/2021 14:40,148,593,102,2,131.46,262.92,14.44,248.48,Cash,1985,528
56373,9/27/2021 1:25,123,523,106,3,153.97,461.91,29.22,432.69,Mobile Payment,1628,594
36327,2/8/2021 17:58,191,600,103,2,187.05,374.1,28.68,345.42,Debit Card,1496,558
11734,8/29/2021 7:23,143,557,103,3,100.22,300.66,22.79,277.87,Mobile Payment,1399,501
31577,4/10/2021 21:51,194,598,105,4,175.45,701.8,5.32,696.48,Credit Card,1301,559
29467,6/25/2021 10:03,187,590,105,1,144.08,144.08,14.63,129.45,Cash,1546,559
53548,11/9/2020 15:21,123,590,105,3,48.98,146.94,11.1,135.84,Cash,1481,594
37705,4/20/2021 1:45,179,566,105,3,127.94,383.82,13.4,370.42,Mobile Payment,1672,535
39350,10/17/2021 14:24,189,543,107,3,149.48,448.44,8,440.44,Debit Card,1529,587
28917,8/13/2021 4:34,188,538,105,3,52.43,157.29,17.26,140.03,Debit Card,1855,537
55304,5/3/2021 1:03,176,583,107,4,114.9,459.6,0.56,459.04,Debit Card,1162,557
50262,5/11/2021 7:45,172,596,102,5,115.73,578.65,20.04,558.61,Debit Card,1700,534
11836,5/30/2021 9:21,111,565,101,1,46.89,46.89,5.08,41.81,Cash,1066,597
31250,4/16/2021 4:21,157,565,101,4,38.24,152.96,25.56,127.4,Credit Card,1601,585
47180,2/22/2021 22:23,181,509,106,3,128.78,386.34,2.23,384.11,Credit Card,1380,581
18166,5/7/2021 4:28,103,517,104,3,87.41,262.23,1.35,260.88,Credit Card,1223,600
90639,7/9/2021 4:15,180,562,104,3,185.67,557.01,14.01,543,Debit Card,1499,510
75874,12/13/2020 6:12,112,548,102,5,67.38,336.9,18.36,318.54,Credit Card,1626,514
65302,12/8/2020 14:30,127,593,102,2,22.18,44.36,28.88,15.48,Debit Card,1624,551
74134,9/4/2021 21:58,155,561,101,5,118.28,591.4,3.72,587.68,Cash,1874,526
76869,7/8/2021 21:02,156,520,101,1,148.21,148.21,3.32,144.89,Mobile Payment,1287,598
76233,11/12/2020 16:34,138,592,103,5,173.83,869.15,25.94,843.21,Debit Card,1256,536
31357,2/20/2021 3:25,143,526,102,1,98.19,98.19,6.18,92.01,Credit Card,1407,599
36800,1/15/2021 11:02,131,580,105,2,33.95,67.9,13.33,54.57,Credit Card,1547,550
90359,9/18/2021 10:30,175,599,104,3,195.75,587.25,27.56,559.69,Credit Card,1704,574
47266,5/9/2021 21:19,155,509,106,2,74.23,148.46,28.45,120.01,Credit Card,1251,513
96659,11/13/2020 23:22,181,540,106,5,121.86,609.3,26.92,582.38,Mobile Payment,1115,584
21124,2/22/2021 11:03,166,570,103,3,170.35,511.05,6.3,504.75,Cash,1213,547
33195,12/19/2020 11:54,114,538,105,4,152.14,608.56,0.1,608.46,Debit Card,1098,501
52627,2/11/2021 12:32,162,534,104,4,37.43,149.72,2.95,146.77,Mobile Payment,1068,535
66118,11/24/2020 4:33,178,553,104,1,37.52,37.52,25.42,12.1,Mobile Payment,1130,508
58659,2/6/2021 14:35,178,553,104,4,88.88,355.52,8.51,347.01,Credit Card,1165,596
10133,6/8/2021 3:53,120,500,104,1,41.34,41.34,24.99,16.35,Debit Card,1277,534
14114,5/31/2021 14:58,140,531,103,3,189.87,569.61,1.05,568.56,Credit Card,1381,500
12633,7/26/2021 9:17,116,581,102,3,76.1,228.3,8.3,220,Credit Card,1258,524
41692,3/14/2021 12:57,106,548,102,1,89.62,89.62,20.6,69.02,Cash,1195,588
20273,11/26/2020 11:55,125,524,106,5,198.49,992.45,23.32,969.13,Mobile Payment,1881,566
31171,4/14/2021 1:23,112,530,102,5,165.2,826,13.65,812.35,Credit Card,1566,594
10937,7/16/2021 4:19,156,582,104,4,171.18,684.72,8.56,676.16,Credit Card,1915,586
17707,4/13/2021 17:06,144,537,107,5,173.83,869.15,29.3,839.85,Cash,1172,570
46166,11/21/2020 1:00,163,593,102,5,140.41,702.05,29.76,672.29,Cash,1393,562
34760,1/15/2021 10:43,187,502,102,2,50.57,101.14,18.62,82.52,Cash,1562,524
23069,4/12/2021 18:23,110,556,104,3,37.21,111.63,23.46,88.17,Debit Card,1775,598
64963,10/7/2021 11:31,157,510,103,1,127.16,127.16,8.01,119.15,Mobile Payment,1364,561
56480,6/23/2021 17:24,116,520,101,2,32.61,65.22,3.74,61.48,Cash,1663,524
60924,4/4/2021 16:42,184,572,104,4,103.43,413.72,17.9,395.82,Mobile Payment,1142,551
46789,5/27/2021 9:38,157,508,105,5,60.76,303.8,9.99,293.81,Mobile Payment,1066,542
34648,4/3/2021 18:29,139,500,104,2,196.5,393,7.41,385.59,Cash,1900,500
94525,2/11/2021 20:43,119,501,104,3,23.29,69.87,4.9,64.97,Debit Card,1218,576
25785,1/22/2021 1:01,194,516,106,4,177.2,708.8,25.13,683.67,Mobile Payment,1480,511
67953,1/12/2021 9:14,122,503,102,1,117.11,117.11,1.19,115.92,Debit Card,1144,509
84973,5/8/2021 18:43,198,528,107,2,147.76,295.52,2.29,293.23,Cash,1491,502
34791,5/18/2021 20:37,197,520,101,2,171.37,342.74,4.17,338.57,Credit Card,1243,548
50785,10/5/2021 1:12,185,571,102,4,138.57,554.28,20.32,533.96,Mobile Payment,1090,588
14301,9/17/2021 0:08,175,585,107,3,95.9,287.7,19.43,268.27,Mobile Payment,1685,559
17178,5/7/2021 4:31,196,569,106,1,166.71,166.71,6.13,160.58,Credit Card,1706,549
31108,11/9/2020 11:24,119,559,107,2,128.27,256.54,20.66,235.88,Debit Card,1261,522
74107,11/10/2020 18:55,164,515,106,4,79.38,317.52,17.99,299.53,Cash,1411,558
48996,3/11/2021 5:19,118,542,107,4,123.44,493.76,16,477.76,Cash,1444,540
27151,3/1/2021 5:20,146,546,103,2,108.03,216.06,26.48,189.58,Cash,1607,565
25316,11/24/2020 21:43,113,534,104,2,155.3,310.6,17.52,293.08,Cash,1450,502
15416,5/21/2021 12:15,150,589,102,1,108.53,108.53,0.49,108.04,Mobile Payment,1193,538
93077,3/25/2021 16:04,114,573,103,5,144.29,721.45,17.03,704.42,Debit Card,1040,548
96347,1/13/2021 16:31,196,520,101,4,195.4,781.6,27.05,754.55,Cash,1403,543
37934,8/2/2021 4:26,149,586,106,2,91.17,182.34,20.88,161.46,Debit Card,1336,549
71704,7/20/2021 20:14,112,592,103,5,75.69,378.45,8.31,370.14,Mobile Payment,1008,565
55302,7/4/2021 8:43,145,570,103,3,27.89,83.67,10.9,72.77,Mobile Payment,1345,597
51184,2/21/2021 12:02,114,501,104,2,55.92,111.84,26.84,85,Cash,1564,541
62414,7/27/2021 0:56,197,593,102,2,25.71,51.42,14.27,37.15,Debit Card,1404,532
86926,3/7/2021 13:16,118,539,105,4,168.77,675.08,8.58,666.5,Debit Card,1834,506
68048,8/29/2021 12:14,194,565,101,3,51.27,153.81,11.72,142.09,Mobile Payment,1027,598
11582,9/11/2021 9:30,136,505,103,5,60.62,303.1,11.73,291.37,Cash,1158,592
38678,3/5/2021 22:45,134,532,102,4,174.43,697.72,21.88,675.84,Cash,1621,593
99470,11/24/2020 22:11,148,545,101,1,138.54,138.54,9.81,128.73,Cash,1136,510
10209,9/10/2021 1:47,186,523,106,5,83.64,418.2,22.09,396.11,Cash,1244,505
58933,5/26/2021 11:43,177,574,102,3,171.03,513.09,0.84,512.25,Debit Card,1886,591
70301,11/26/2020 21:00,195,526,102,3,87.63,262.89,26.24,236.65,Cash,1542,543
61567,5/4/2021 10:04,122,510,103,3,88.51,265.53,16.85,248.68,Cash,1398,541
28695,4/19/2021 5:01,117,576,103,3,22.65,67.95,14.55,53.4,Debit Card,1971,536
22828,2/24/2021 17:48,100,506,107,5,162.23,811.15,29.66,781.49,Cash,1823,545
90474,3/30/2021 23:45,161,587,101,3,182.6,547.8,6.38,541.42,Cash,1764,593
98714,12/24/2020 5:36,170,513,106,2,173.01,346.02,9.38,336.64,Cash,1817,504
58099,3/13/2021 1:05,115,523,106,1,115.35,115.35,3.1,112.25,Mobile Payment,1479,526
72944,7/6/2021 21:31,194,550,107,2,51.38,102.76,7.38,95.38,Credit Card,1633,545
47421,11/23/2020 21:55,125,537,107,5,34.14,170.7,20.84,149.86,Credit Card,1476,600
72403,3/17/2021 18:46,110,535,102,5,108.95,544.75,16.9,527.85,Credit Card,1756,591
66275,8/8/2021 10:35,117,520,101,4,195.82,783.28,12.2,771.08,Cash,1378,515
88681,6/1/2021 5:59,177,555,106,5,89.26,446.3,12.67,433.63,Mobile Payment,1659,559
36792,5/8/2021 22:40,164,537,107,1,191.95,191.95,1.11,190.84,Mobile Payment,1588,522
81652,11/27/2020 8:37,131,502,102,1,121.22,121.22,3.82,117.4,Credit Card,1350,597
13876,6/26/2021 18:16,106,529,104,5,144.22,721.1,19.33,701.77,Debit Card,1034,569
21214,3/5/2021 8:35,197,577,102,5,111.72,558.6,17.79,540.81,Mobile Payment,1175,556
46305,2/25/2021 12:54,134,581,102,5,39.11,195.55,1.3,194.25,Mobile Payment,1203,581
80030,10/7/2021 7:42,151,544,102,4,160.33,641.32,22.38,618.94,Cash,1179,534
18086,3/12/2021 9:26,108,532,102,1,39.65,39.65,7.31,32.34,Debit Card,1775,512
13014,1/29/2021 17:54,152,564,106,1,159.87,159.87,7.8,152.07,Mobile Payment,1159,582
92581,3/28/2021 8:40,117,552,101,2,110.5,221,8.18,212.82,Credit Card,1870,526
42312,2/28/2021 12:27,127,571,102,1,32.64,32.64,14.28,18.36,Cash,1252,596
92200,12/5/2020 18:23,125,521,101,2,179.58,359.16,26.76,332.4,Credit Card,1915,541
66288,4/9/2021 13:28,173,516,106,4,42.51,170.04,25.19,144.85,Cash,1481,520
22994,3/21/2021 9:26,181,578,105,3,13.53,40.59,26.35,14.24,Debit Card,1881,543
12443,2/5/2021 17:07,189,577,102,3,128.77,386.31,5.86,380.45,Cash,1598,539
59525,3/7/2021 20:19,193,544,102,2,133.03,266.06,4.99,261.07,Mobile Payment,1409,506
53031,12/23/2020 11:40,149,500,104,4,74.14,296.56,2.11,294.45,Cash,1425,557
88242,5/14/2021 16:37,107,518,105,1,138.23,138.23,8.68,129.55,Cash,1761,520
36466,3/13/2021 11:28,110,570,103,4,26.92,107.68,6.42,101.26,Credit Card,1243,564
31230,2/16/2021 21:58,196,504,103,4,33.7,134.8,2.8,132,Credit Card,1692,531
76431,5/5/2021 12:59,117,577,102,5,131.84,659.2,19.3,639.9,Debit Card,1693,536
66921,2/9/2021 17:14,120,579,101,1,19.15,19.15,24.41,-5.26,Mobile Payment,1670,569
10312,6/9/2021 3:03,114,573,103,4,55.51,222.04,14.62,207.42,Mobile Payment,1389,563
36433,4/6/2021 13:12,119,587,101,4,69.44,277.76,27.37,250.39,Debit Card,1030,571
10229,9/7/2021 12:18,148,554,102,4,144.35,577.4,18.18,559.22,Mobile Payment,1328,549
31912,8/10/2021 22:57,196,578,105,5,168.66,843.3,22.94,820.36,Cash,1503,574
42979,5/9/2021 14:49,108,600,103,5,165.99,829.95,6.58,823.37,Mobile Payment,1406,559
61547,10/1/2021 4:00,111,598,105,3,34.73,104.19,25.09,79.1,Credit Card,1495,511
61689,3/20/2021 18:02,186,522,102,1,51.51,51.51,19.04,32.47,Mobile Payment,1474,573
73402,10/26/2021 17:53,109,529,104,1,42.05,42.05,11.08,30.97,Mobile Payment,1378,522
56035,1/23/2021 8:16,106,591,101,3,135,405,16.48,388.52,Cash,1487,515
78259,3/5/2021 0:17,159,566,105,1,153.87,153.87,29.94,123.93,Mobile Payment,1993,567
29677,11/5/2021 18:57,186,578,105,4,116.65,466.6,22.92,443.68,Credit Card,1520,567
81005,6/6/2021 14:31,138,592,103,5,179.02,895.1,11.59,883.51,Debit Card,1381,594
83662,9/21/2021 13:38,140,500,104,3,184.47,553.41,25.55,527.86,Mobile Payment,1455,582
33600,12/18/2020 0:00,171,587,101,1,160.03,160.03,26.25,133.78,Cash,1285,570
40351,6/4/2021 14:32,117,577,102,4,163.24,652.96,29.8,623.16,Mobile Payment,1092,589
36208,12/25/2020 2:16,147,564,106,1,198.9,198.9,16.95,181.95,Debit Card,1567,584
72298,1/11/2021 10:30,175,544,102,4,55.48,221.92,16.98,204.94,Mobile Payment,1784,587
19082,10/3/2021 23:12,175,554,102,3,15.1,45.3,28.09,17.21,Cash,1560,551
37000,12/23/2020 10:56,120,593,102,1,59.26,59.26,7.39,51.87,Mobile Payment,1408,517
81877,1/18/2021 19:46,186,542,107,2,88.88,177.76,26.35,151.41,Credit Card,1831,585
30680,7/10/2021 3:30,140,530,102,1,135.71,135.71,18.27,117.44,Credit Card,1693,570
40151,11/10/2020 4:09,111,500,104,2,35.72,71.44,28.89,42.55,Cash,1835,587
42293,10/24/2021 9:57,143,527,107,3,113.93,341.79,27.27,314.52,Credit Card,1294,501
82263,3/30/2021 15:35,106,599,104,5,136.69,683.45,22.65,660.8,Credit Card,1664,573
88777,7/9/2021 8:26,167,571,102,3,146.13,438.39,27.08,411.31,Credit Card,1295,575
69702,2/4/2021 9:06,190,501,104,2,75.3,150.6,8.81,141.79,Credit Card,1862,516
28711,12/18/2020 2:49,130,554,102,4,163.96,655.84,6.67,649.17,Credit Card,1527,527
50074,11/9/2020 10:37,139,513,106,1,172.88,172.88,7.38,165.5,Cash,1991,510
82767,9/12/2021 21:18,122,583,107,3,52.22,156.66,22.47,134.19,Mobile Payment,1390,542
99277,4/12/2021 20:50,133,563,104,5,81.04,405.2,24.56,380.64,Cash,1138,549
13063,4/17/2021 19:07,190,556,104,1,48.92,48.92,10.17,38.75,Credit Card,1670,500
88073,7/4/2021 23:52,136,528,107,5,35.98,179.9,4.17,175.73,Mobile Payment,1654,553
59851,1/7/2021 13:56,143,526,102,1,131.02,131.02,22.03,108.99,Cash,1224,588
18320,12/11/2020 10:11,135,527,107,3,140.93,422.79,8.65,414.14,Mobile Payment,1651,558
78686,6/16/2021 21:21,122,561,101,1,134.89,134.89,6.04,128.85,Mobile Payment,1310,554
60868,11/15/2020 9:01,102,554,102,2,84.26,168.52,9.04,159.48,Debit Card,1682,581
22539,10/16/2021 19:28,100,543,107,1,55.7,55.7,24.65,31.05,Debit Card,1258,526
26838,6/12/2021 12:03,152,557,103,4,13.98,55.92,18.97,36.95,Credit Card,1509,514
77740,10/21/2021 12:49,154,592,103,4,148.34,593.36,0.41,592.95,Debit Card,1366,571
15497,2/23/2021 13:35,162,530,102,2,183.39,366.78,27.13,339.65,Mobile Payment,1200,573
42701,8/2/2021 19:06,170,581,102,5,34.35,171.75,14.37,157.38,Credit Card,1006,504
36259,11/4/2021 4:13,134,500,104,5,16.98,84.9,5.08,79.82,Cash,1515,534
45145,10/23/2021 22:02,130,591,101,5,182.95,914.75,27.21,887.54,Credit Card,1361,594
46262,7/24/2021 21:36,184,580,105,3,52.01,156.03,24.3,131.73,Debit Card,1546,503
74450,7/12/2021 20:20,117,541,104,5,11.14,55.7,7.56,48.14,Debit Card,1322,588
14626,4/5/2021 9:30,187,529,104,5,95.58,477.9,28.96,448.94,Credit Card,1585,519
93836,10/23/2021 17:30,163,510,103,5,155.26,776.3,29.31,746.99,Mobile Payment,1623,553
40695,12/16/2020 6:18,109,511,103,1,32.38,32.38,29.64,2.74,Mobile Payment,1157,592
43183,2/28/2021 15:43,137,572,104,3,60.1,180.3,7.06,173.24,Credit Card,1026,515
94163,12/9/2020 1:42,191,566,105,5,140.59,702.95,4.04,698.91,Credit Card,1425,590
91170,6/2/2021 4:48,194,568,107,1,187.24,187.24,25.22,162.02,Credit Card,1700,523
35777,10/11/2021 19:39,138,524,106,5,71.68,358.4,27.22,331.18,Debit Card,1554,571
93574,3/30/2021 23:04,112,578,105,2,22.58,45.16,22.47,22.69,Cash,1315,542
63254,6/16/2021 8:15,190,580,105,1,103.11,103.11,23.9,79.21,Cash,1542,502
99405,4/12/2021 4:29,177,587,101,2,96.43,192.86,20.82,172.04,Cash,1151,552
87962,9/25/2021 11:44,168,506,107,5,114.54,572.7,26.19,546.51,Credit Card,1504,568
66670,4/6/2021 8:56,118,577,102,3,145.94,437.82,1.56,436.26,Credit Card,1772,572
33168,2/15/2021 22:29,144,595,104,4,163.85,655.4,12.99,642.41,Cash,1047,546
83911,2/19/2021 5:18,121,574,102,2,136.1,272.2,28.58,243.62,Cash,1863,581
63915,10/21/2021 20:54,103,573,103,5,75.03,375.15,6.39,368.76,Cash,1275,534
72539,11/29/2020 15:14,132,532,102,2,94.49,188.98,11.2,177.78,Cash,1206,504
68199,5/1/2021 8:06,184,538,105,2,191.58,383.16,18.57,364.59,Credit Card,1748,585
60641,11/24/2020 10:15,108,597,102,3,54.13,162.39,9.82,152.57,Credit Card,1478,554
